id;descricao;estado;endereco_ip;endereco_mac
1;European Unit of Account 9(E.U.A.-9);true;withdrawal;Specialist Aruba
2;Bahamas logistical Shoes;false;Architect;value-added Optimized
3;Configuration;true;Salad International Keyboard;leading edge override
4;Pound Sterling program;false;input withdrawal Berkshire;SQL Chief
5;innovative;true;Auto Loan Account Future-proofed SQL;Tunnel
6;navigating;false;utilize;Singapore Dollar Bedfordshire Borders
7;Gorgeous iterate;true;Metrics Fully-configurable online;e-commerce Investor
8;Plastic deposit front-end;false;Data;hack metrics Officer
9;Rustic Optimized purple;false;Czech Republic;virtual exploit
10;Chair Iowa;false;Nevada Soap Handmade Steel Gloves;Internal
