id;descricao;num_pessoas_perm;num_pessoas_det;data_hora_inicio;data_hora_fim;path;formato
1;Director Director Technician;53251;10138;2020-03-28T02:59:44;2020-03-28T02:25:21;De-engineered Well quantifying;Electronics
2;Assurance Plastic;18454;25587;2020-03-28T06:50:56;2020-03-28T04:36:45;online Arizona Direct;B2B Berkshire functionalities
3;grow leading edge Division;37904;3196;2020-03-28T11:33:37;2020-03-28T11:09:01;sticky Incredible;connecting
4;calculate SCSI Ports;48988;70726;2020-03-28T13:16:23;2020-03-28T15:36:38;French Guiana Metrics Kentucky;Baby
5;homogeneous Table;77986;80726;2020-03-28T06:36:46;2020-03-28T07:19:48;Sports Kwacha;South Dakota SDR
6;Small Soft Chair Customer;30608;45486;2020-03-28T08:20:35;2020-03-28T01:07:00;online synthesizing mobile;Borders
7;multi-byte;49113;36652;2020-03-27T22:06:46;2020-03-28T05:33:22;grow focus group;pixel
8;Innovative Unbranded Soft Shoes;24930;37;2020-03-28T04:23:38;2020-03-27T20:07:39;Practical;Cambridgeshire Sharable
9;Bedfordshire Pass;82342;52905;2020-03-28T06:52:26;2020-03-27T20:27:28;synergistic transmitting emulation;calculating program
10;Handcrafted calculating;9754;91004;2020-03-28T10:13:28;2020-03-27T21:13:33;Awesome Soft Soap wireless;compressing Togo optimal
