id;data_hora_inicio;data_hora_fim;classe_origem;metodo_origem
1;2020-03-26T06:10:41;2020-03-26T04:44:18;Rustic Fresh Shirt;engineer
2;2020-03-26T00:07:05;2020-03-25T12:19:57;mesh web services Fundamental;neural Advanced
3;2020-03-25T21:39:54;2020-03-25T17:35:46;Implementation Rubber;California Egyptian Pound
4;2020-03-25T14:37:16;2020-03-25T23:34:23;web-readiness;Mills
5;2020-03-26T02:27:19;2020-03-25T15:42:31;Crescent composite;Handcrafted Steel Soap auxiliary Granite
6;2020-03-26T04:44:24;2020-03-26T06:06:32;capacitor connect;Palladium Corporate
7;2020-03-26T09:41:06;2020-03-26T00:52:52;encryption best-of-breed Lead;Arizona Books Handmade Steel Chips
8;2020-03-25T11:25:40;2020-03-26T06:30:45;mobile;IB Fantastic Metal Cheese
9;2020-03-25T15:32:05;2020-03-25T23:01:07;blue Avon Grocery;connecting
10;2020-03-25T17:33:08;2020-03-26T04:24:10;infomediaries Forward;parsing
